지역,발아기,만개기,수확기
김제,,2024-04-06,
김제,2023-03-13,2023-04-04,2023-08-30
김제,2022-03-14,2022-04-12,2020-09-04
이천,,,2022-09-14
김제,2021-03-13,2021-04-08,2021-09-02
이천,,,2021-09-14
청도,,,2021-09-06
김제,2020-03-15,2020-04-11,2020-09-04
이천,2020-03-26,2020-04-14,2020-09-16
청도,2020-03-14,2020-04-06,2020-09-09
춘천,2020-03-23,2020-04-17,2020-09-16
김제,2019-03-19,2019-04-19,2019-09-06
완주,2019-03-19,2019-04-09,
이천,2019-03-28,2019-04-21,2019-09-16
청도,2019-03-12,2019-04-10,2019-09-04
춘천,2019-03-22,2019-04-24,2019-09-10
김제,,2018-04-09,2018-09-10
완주,2018-03-27,2018-04-09,
이천,,,2018-09-12
청도,,,2018-09-12
춘천,,2018-04-21,2018-09-12
김제,,2017-04-15,2017-09-15
완주,2017-03-22,2017-04-15,
이천,,2017-04-16,2017-09-15
청도,,2017-04-12,2017-09-10
춘천,,2017-04-17,2017-09-15
김제,,2016-04-10,2016-09-12
이천,,2016-04-15,2016-09-21
청도,,2016-04-08,2016-09-12
춘천,,2016-04-15,2016-09-07
김제,,2015-04-16,2015-09-23
이천,,2015-04-22,2015-09-16
청도,,2015-04-10,
충주,,2015-04-20,2015-09-25
이천,,2014-04-16,2014-09-15
청도,,2014-04-10,2014-09-02
춘천,,2014-04-17,2014-09-07
수원,,2014-04-13,2014-09-12
익산,,2014-04-08,2014-09-13
충주,,2014-04-14,
이천,,2013-05-02,2013-09-23
청도,,2013-04-13,2013-09-17
춘천,,2013-05-02,2013-09-13
안동,,2013-04-25,2013-09-25
양양,,2013-04-26,2013-09-12
충주,,2013-04-30,2013-09-20
수원,,2013-04-28,2013-09-25
익산,,2013-04-27,2013-09-23
이천,,2012-04-27,2012-09-12
청도,,2012-04-16,2012-09-11
춘천,,2012-04-29,2012-09-02
충주,,2012-04-25,2012-09-22
익산,,2012-04-21,2012-09-21
대구,,2012-04-19,2012-09-12
강릉,,2012-04-27,2012-09-02
이천,,2011-05-04,2011-09-24
청도,,2011-04-16,2011-09-09
춘천,,2011-04-30,2011-09-20
수원,,2011-05-01,2011-09-26
강릉,,2011-04-29,2011-09-18
대구,,2011-04-24,2011-09-19
익산,,2011-04-23,2011-09-26
충주,,2011-05-01,2011-09-20
청도,,2010-04-19,2010-09-19
강릉,,2010-04-30,
수원,,2010-04-28,2010-09-24
충주,,2010-05-03,2010-09-23
익산,,2010-04-17,
청도,,2009-04-09,2009-09-11
수원,,2009-04-15,2009-09-14
충주,,2009-04-18,2009-09-14
예산,,2009-04-13,2009-09-11
대구,,2009-04-08,2009-09-11
