,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
103,2004,4,13,24.1,15.0,7.2,52.9,1.5,11.2,0.0,0.0,0.6,2004-04-13,0.0,-81.22246529228025,True,9.0,217.84021594320836,True
476,2005,4,21,19.2,12.8,5.6,40.1,2.2,7.9,0.0,0.0,2.6,2005-04-21,-0.005882352941176481,-109.78547785921289,True,6.405882352941176,218.91756486435588,True
841,2006,4,21,21.1,12.8,3.6,49.6,1.7,12.1,0.0,0.0,1.5,2006-04-21,-0.16457142857142856,-86.29919530151273,True,6.51457142857143,218.8352637473378,True
1202,2007,4,17,15.2,9.9,4.3,70.9,1.1,1.5,0.0,0.0,8.9,2007-04-17,-0.1325688073394496,-71.28606689555632,True,3.8825688073394495,215.90623166057642,True
1567,2008,4,16,14.6,13.4,12.1,89.5,0.7,0.0,7.5,0.0,10.0,2008-04-16,0.0,-85.86418748810087,True,7.4,222.423036916086,True
1928,2009,4,12,24.3,16.0,7.4,58.5,1.5,10.6,0.0,0.0,1.4,2009-04-12,0.0,-64.8858071627778,True,10.0,222.19502793217978,True
2309,2010,4,28,10.5,5.8,0.7,74.9,1.7,0.7,14.5,0.0,5.5,2010-04-28,-1.4331632653061224,-84.6273607480859,True,1.0331632653061225,216.51585275905614,True
2672,2011,4,26,19.1,14.0,9.5,87.5,1.0,0.0,7.5,0.0,10.0,2011-04-26,0.0,-104.87405955256556,True,8.0,222.9896145054548,True
3035,2012,4,23,23.7,15.7,6.3,71.4,1.2,10.8,0.0,0.0,0.0,2012-04-23,0.0,-104.07731603673982,True,9.7,219.74768230329445,True
3400,2013,4,23,11.1,9.1,7.8,89.6,0.8,0.0,48.5,0.0,10.0,2013-04-23,0.0,-91.23267073860916,True,3.0999999999999996,218.361248996755,True
3757,2014,4,15,26.3,15.6,3.7,54.8,0.9,11.1,0.0,0.0,2.3,2014-04-15,-0.11703539823008847,-76.10790747218323,True,9.117035398230088,219.56068198304072,True
4127,2015,4,20,15.5,12.7,8.3,98.0,0.7,0.0,22.0,0.0,10.0,2015-04-20,0.0,-88.25944431576981,True,6.699999999999999,220.20882388773978,True
4488,2016,4,15,21.2,12.9,5.3,59.3,1.2,12.0,0.0,0.0,0.0,2016-04-15,-0.015408805031446551,-80.04792310307003,True,7.265408805031447,219.7081911690974,True
4854,2017,4,16,27.8,16.8,8.9,62.0,1.0,9.8,0.0,0.0,0.0,2017-04-16,0.0,-83.08543900360051,True,10.8,215.88354017326557,True
5220,2018,4,17,20.5,11.5,5.9,63.6,1.1,10.3,0.0,0.0,0.0,2018-04-17,-0.0003424657534246551,-68.77947911452989,True,7.200342465753425,218.71994490750888,True
5585,2019,4,17,21.6,15.2,9.0,62.4,1.0,8.2,0.0,0.0,5.4,2019-04-17,0.0,-69.41973311678755,True,9.2,216.7276878023608,True
5951,2020,4,17,12.0,10.7,8.0,90.8,0.3,0.0,28.9,0.0,9.1,2020-04-17,0.0,-63.68135768902691,True,4.699999999999999,219.73503415310975,True
6309,2021,4,10,18.5,10.0,2.4,67.5,1.0,11.6,0.0,0.0,1.4,2021-04-10,-0.40248447204968946,-48.462736750414955,True,4.852484472049689,218.99658995198655,True
6677,2022,4,13,18.7,15.2,11.1,84.1,1.4,0.0,0.5,0.0,8.6,2022-04-13,0.0,-90.97317719620695,True,9.2,221.34895258455248,True
7032,2023,4,6,15.0,12.0,9.8,78.6,1.4,0.4,3.6,0.0,9.1,2023-04-06,0.0,-52.03525975649155,True,6.0,220.306045937536,True
7399,2024,4,12,25.2,15.7,8.5,72.8,0.8,8.3,0.0,0.0,3.3,2024-04-12,0.0,-61.729956986552516,True,9.7,216.8542523556887,True
