,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
109,2004,4,19,16.9,14.3,11.8,85.6,2.9,0.0,7.5,0.0,10.0,2004-04-19,0.0,-181.50105357752662,False,9.3,246.5054228069656,True
483,2005,4,28,25.8,18.8,14.4,63.6,3.6,8.4,0.0,0.0,4.4,2005-04-28,0.0,-114.15356292146856,False,13.8,252.45110496834405,True
849,2006,4,29,18.3,13.5,8.2,55.9,1.8,9.4,0.0,0.0,5.5,2006-04-29,0.0,-141.93679730382482,False,8.5,247.49810790923055,True
1210,2007,4,25,19.3,13.0,6.5,68.9,2.0,11.4,0.0,0.0,0.4,2007-04-25,0.0,-145.52580816148398,False,8.0,247.00830308742718,True
1570,2008,4,19,28.1,18.1,9.0,53.3,1.2,11.1,0.0,0.0,0.1,2008-04-19,0.0,-106.78438870818954,True,13.100000000000001,251.70355855672736,True
1937,2009,4,21,11.5,9.7,8.5,84.4,5.0,0.6,1.0,0.0,8.8,2009-04-21,0.0,-136.8948418997615,False,4.699999999999999,242.44364108483387,True
2314,2010,5,3,21.6,19.1,14.2,82.6,2.3,0.0,0.0,0.0,8.4,2010-05-03,0.0,-176.764692191076,False,14.100000000000001,249.8516674074786,True
2680,2011,5,4,21.6,13.6,6.4,49.1,1.1,5.6,0.0,0.0,6.0,2011-05-04,0.0,-170.09444754876537,False,8.6,241.74117765989712,True
3040,2012,4,28,23.2,16.9,9.5,54.6,1.5,10.3,0.0,0.0,1.3,2012-04-28,0.0,-132.20927061091786,False,11.899999999999999,247.77471054046848,True
3411,2013,5,4,19.2,12.9,8.3,70.6,1.7,9.6,0.0,0.0,1.1,2013-05-04,0.0,-195.65926427921886,False,7.9,243.13668242420056,True
3758,2014,4,16,21.4,13.7,9.3,80.5,1.4,4.3,0.0,0.0,6.6,2014-04-16,0.0,-152.89668930320425,False,8.7,244.66392654310863,True
4128,2015,4,21,21.4,13.1,6.0,58.1,1.6,12.0,0.0,0.0,1.5,2015-04-21,0.0,-156.0816258619187,False,8.1,243.6810126393111,True
4489,2016,4,16,21.6,14.9,8.3,71.6,2.6,1.7,29.6,0.0,7.6,2016-04-16,0.0,-101.88754646624642,True,9.9,241.7574720929424,True
4858,2017,4,20,17.2,12.6,8.7,50.9,1.6,1.1,0.0,0.0,7.5,2017-04-20,0.0,-160.7381403354975,False,7.6,240.82940690176133,True
5219,2018,4,16,19.3,10.8,3.2,59.8,1.4,12.2,0.0,0.0,1.0,2018-04-16,-1.2493788819875782,-101.90258651933952,True,6.350621118012422,241.59061124565633,True
5590,2019,4,22,29.2,18.1,8.5,63.4,1.3,11.0,0.0,0.0,2.6,2019-04-22,0.0,-222.39989608699176,False,13.100000000000001,242.83602038826265,True
5959,2020,4,25,18.4,13.1,8.7,70.4,3.9,11.0,0.0,0.0,3.0,2020-04-25,0.0,-176.43016629841745,False,8.1,247.0540864597202,True
6311,2021,4,12,17.5,13.5,11.7,76.4,2.3,0.0,20.1,0.0,9.9,2021-04-12,0.0,-121.22168412857464,False,8.5,244.80849605654464,True
6683,2022,4,19,21.4,13.2,6.1,60.3,1.8,12.1,0.0,0.0,0.3,2022-04-19,0.0,-121.3100454279254,False,8.2,241.59805605390994,True
7043,2023,4,14,22.8,15.3,9.2,56.6,1.4,6.4,0.0,0.0,7.6,2023-04-14,0.0,-140.7314768064341,False,10.3,246.8024659528492,True
7405,2024,4,15,19.4,15.1,10.7,81.4,2.5,0.0,17.1,0.0,9.1,2024-04-15,0.0,-124.06951962228561,False,10.1,242.02165224869762,True
