,year,month,day,date,tmax,tavg,tmin,rainfall,wind,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
109,2003,4,20,2003-04-20,13.7,11.7,9.2,8.0,1.0,0.0,-163.33494825078242,False,2.6999999999999993,134.3427530052668,True
471,2004,4,16,2004-04-16,28.2,16.7,4.5,0.0,1.7,-0.4272151898734177,-174.00651506451922,False,7.777215189873417,140.53481797169044,True
843,2005,4,23,2005-04-23,22.2,12.3,2.3,0.0,1.4,-1.127889447236181,-244.3047241223841,False,4.377889447236181,134.58271978975887,True
1210,2006,4,25,2006-04-25,22.1,14.0,5.0,0.0,1.7,-0.4678362573099415,-205.3676097866725,False,5.017836257309942,137.52118733471085,True
1571,2007,4,21,2007-04-21,23.7,19.6,16.3,0.0,1.6,0.0,-178.31444650001418,False,10.600000000000001,141.42636935382262,True
1936,2008,4,20,2008-04-20,23.0,14.5,4.5,0.0,2.2,-0.5472972972972973,-212.55125850971964,False,5.297297297297297,137.2930561001568,True
2294,2009,4,13,2009-04-13,25.3,17.0,7.4,0.0,0.8,-0.07150837988826812,-165.16725324630457,False,7.421508379888269,139.27915481615065,True
2680,2010,5,4,2010-05-04,29.5,21.0,11.9,0.0,2.4,0.0,-228.27329581480083,False,12.0,138.8264560438434,True
3041,2011,4,30,2011-04-30,23.5,18.9,14.9,21.5,3.2,0.0,-247.62026367987903,False,9.899999999999999,136.48710247767656,True
3401,2012,4,24,2012-04-24,29.4,18.8,9.9,0.0,1.5,0.0,-224.68399746372188,False,9.8,134.56206259672672,True
3770,2013,4,28,2013-04-28,22.8,14.1,3.9,0.0,2.0,-0.688095238095238,-226.5519054503476,False,5.038095238095238,138.00610948281866,True
4123,2014,4,16,2014-04-16,27.0,17.8,10.1,0.0,1.3,0.0,-175.82132801419817,False,8.8,135.87171151178904,True
4495,2015,4,23,2015-04-23,23.4,13.8,4.1,0.0,1.2,-0.6220207253886013,-196.09281402945635,False,5.372020725388601,137.091986222492,True
4855,2016,4,17,2016-04-17,19.9,15.5,9.9,11.5,5.8,0.0,-180.86002829782925,False,6.5,135.3127937607931,True
5224,2017,4,21,2017-04-21,21.4,13.9,7.1,0.0,1.1,-0.12622377622377629,-184.26714492499136,False,5.3762237762237755,138.08727629974234,True
5583,2018,4,15,2018-04-15,18.6,12.7,7.9,0.0,2.9,-0.05654205607476632,-173.71463406047567,False,4.306542056074767,135.44119486183655,True
5954,2019,4,21,2019-04-21,25.2,17.1,8.6,0.0,1.3,-0.004819277108433743,-166.53577243296525,False,7.904819277108433,138.0443426375862,True
6320,2020,4,21,2020-04-21,17.9,11.2,5.7,0.0,5.0,-0.44631147540983607,-157.3720646846421,False,3.2463114754098354,134.961934642914,True
6677,2021,4,13,2021-04-13,20.2,15.2,8.2,2.5,3.6,-0.026666666666666713,-123.39427447144308,False,5.226666666666666,135.61619357246514,True
7045,2022,4,16,2022-04-16,20.8,11.9,2.0,0.0,1.8,-1.303191489361702,-195.01147583795586,False,3.703191489361702,137.25169103416317,True
7401,2023,4,8,2023-04-08,16.0,8.8,1.3,0.0,3.4,-2.016666666666667,-129.82304661740073,False,1.6666666666666667,135.05067424382716,True
7774,2024,4,15,2024-04-15,18.4,14.7,11.8,10.5,1.1,0.0,-155.51795640960603,False,5.699999999999999,137.18939962355722,True
