,full_bloom_date
101,2004-04-12
476,2005-04-22
840,2006-04-21
1199,2007-04-15
1568,2008-04-18
1930,2009-04-15
2310,2010-04-30
2670,2011-04-25
3036,2012-04-25
3407,2013-05-01
3758,2014-04-17
4125,2015-04-19
4487,2016-04-15
4857,2017-04-20
5215,2018-04-13
5590,2019-04-23
5957,2020-04-24
6307,2021-04-09
6676,2022-04-13
7039,2023-04-11
7407,2024-04-13
