,year,month,day,date,tmax,tavg,tmin,rainfall,wind,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
110,2003,4,21,2003-04-21,18.3,12.0,8.0,0.0,2.6,-0.04854368932038835,-163.3834919401028,False,4.198543689320388,138.54129669458717,True
471,2004,4,16,2004-04-16,28.2,16.7,4.5,0.0,1.7,-0.4272151898734177,-174.00651506451922,False,7.777215189873417,140.53481797169044,True
844,2005,4,24,2005-04-24,22.7,13.2,3.5,0.0,1.4,-0.7877604166666667,-245.09248453905076,False,4.887760416666666,139.47048020642552,True
1210,2006,4,25,2006-04-25,22.1,14.0,5.0,0.0,1.7,-0.4678362573099415,-205.3676097866725,False,5.017836257309942,137.52118733471085,True
1571,2007,4,21,2007-04-21,23.7,19.6,16.3,0.0,1.6,0.0,-178.31444650001418,False,10.600000000000001,141.42636935382262,True
1936,2008,4,20,2008-04-20,23.0,14.5,4.5,0.0,2.2,-0.5472972972972973,-212.55125850971964,False,5.297297297297297,137.2930561001568,True
2294,2009,4,13,2009-04-13,25.3,17.0,7.4,0.0,0.8,-0.07150837988826812,-165.16725324630457,False,7.421508379888269,139.27915481615065,True
2680,2010,5,4,2010-05-04,29.5,21.0,11.9,0.0,2.4,0.0,-228.27329581480083,False,12.0,138.8264560438434,True
3042,2011,5,1,2011-05-01,21.4,17.3,11.6,2.0,3.7,0.0,-247.62026367987903,False,8.3,144.78710247767657,True
3402,2012,4,25,2012-04-25,15.4,13.1,12.0,21.0,1.3,0.0,-224.68399746372188,False,4.1,138.6620625967267,True
3770,2013,4,28,2013-04-28,22.8,14.1,3.9,0.0,2.0,-0.688095238095238,-226.5519054503476,False,5.038095238095238,138.00610948281866,True
4124,2014,4,17,2014-04-17,23.5,13.8,6.1,16.5,1.3,-0.24166666666666675,-176.06299468086485,False,6.041666666666667,141.9133781784557,True
4496,2015,4,24,2015-04-24,23.9,14.6,5.0,0.0,1.7,-0.4232804232804233,-196.51609445273678,False,5.8732804232804225,142.96526664577243,True
4856,2016,4,18,2016-04-18,20.7,14.4,8.4,0.0,2.4,-0.0146341463414634,-180.8746624441707,False,5.564634146341463,140.87742790713457,True
5224,2017,4,21,2017-04-21,21.4,13.9,7.1,0.0,1.1,-0.12622377622377629,-184.26714492499136,False,5.3762237762237755,138.08727629974234,True
5584,2018,4,16,2018-04-16,19.8,11.9,3.7,0.0,1.6,-0.8723602484472048,-174.58699430892287,False,3.622360248447205,139.06355511028374,True
5954,2019,4,21,2019-04-21,25.2,17.1,8.6,0.0,1.3,-0.004819277108433743,-166.53577243296525,False,7.904819277108433,138.0443426375862,True
6322,2020,4,23,2020-04-23,15.8,7.9,-1.1,0.0,3.2,-2.982248520710059,-162.89244270175507,False,1.3680473372781066,137.418111476595,True
6678,2021,4,14,2021-04-14,16.8,9.5,3.3,0.0,3.1,-1.2033333333333334,-124.59760780477642,False,2.253333333333334,137.86952690579847,True
7045,2022,4,16,2022-04-16,20.8,11.9,2.0,0.0,1.8,-1.303191489361702,-195.01147583795586,False,3.703191489361702,137.25169103416317,True
7402,2023,4,9,2023-04-09,20.7,9.9,-1.4,0.0,1.7,-2.4027149321266976,-132.22576154952742,False,3.097058823529412,138.14773306735657,True
7775,2024,4,16,2024-04-16,23.6,16.6,9.7,0.0,2.0,0.0,-155.51795640960603,False,7.600000000000001,144.78939962355722,True
