,full_bloom_date
103,2004-04-13
476,2005-04-21
841,2006-04-21
1202,2007-04-17
1567,2008-04-16
1928,2009-04-12
2309,2010-04-28
2672,2011-04-26
3035,2012-04-23
3400,2013-04-23
3757,2014-04-15
4127,2015-04-20
4488,2016-04-15
4854,2017-04-16
5220,2018-04-17
5585,2019-04-17
5951,2020-04-17
6309,2021-04-10
6677,2022-04-13
7032,2023-04-06
7399,2024-04-12
