,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
111,2004,4,21,29.1,19.3,8.6,55.3,2.2,9.3,0.0,0.0,0.0,2004-04-21,0.0,-84.91731645043414,True,14.3,266.77077800667263,True
483,2005,4,28,29.5,21.0,14.0,58.9,3.6,10.4,0.0,0.0,0.0,2005-04-28,0.0,-101.03107363800989,True,16.0,274.3894257525696,True
852,2006,5,2,23.7,16.8,7.1,38.4,3.2,12.1,0.0,0.0,0.0,2006-05-02,0.0,-103.94331049919747,True,11.8,262.15323062189344,True
1211,2007,4,26,22.5,13.5,4.6,52.9,1.6,9.2,0.0,0.0,0.0,2007-04-26,-0.004469273743016768,-68.13946704759577,True,8.554469273743017,263.980790396486,True
1573,2008,4,22,21.0,16.8,12.6,48.3,1.9,0.0,6.0,0.0,0.0,2008-04-22,0.0,-94.64358576068413,True,11.8,270.3123025203473,True
1940,2009,4,24,15.2,13.0,11.1,69.3,2.3,0.0,2.0,0.0,10.0,2009-04-24,0.0,-94.07285919606343,True,8.0,262.08728652650655,True
2314,2010,5,3,25.4,21.0,15.1,68.9,2.9,4.1,0.0,0.0,5.9,2010-05-03,0.0,-86.88929249559467,True,16.0,264.7675762024031,True
2680,2011,5,4,22.9,15.0,6.4,53.0,1.5,9.5,0.0,0.0,4.4,2011-05-04,0.0,-107.96140739706263,True,10.0,267.33063454014206,True
3041,2012,4,29,23.9,17.1,9.8,59.5,1.5,0.7,0.0,0.0,7.4,2012-04-29,0.0,-96.32163351594464,True,12.100000000000001,269.21730777747877,True
3412,2013,5,5,22.1,13.8,5.7,53.1,2.2,12.5,0.0,0.0,0.0,2013-05-05,0.0,-108.29425000249547,True,8.8,267.4548529473139,True
3758,2014,4,18,22.7,15.6,10.4,62.6,1.5,8.4,0.0,0.0,5.1,2014-04-18,0.0,-71.92621225890888,True,10.6,270.4616722317075,True
4130,2015,4,25,24.1,14.7,4.5,47.5,1.9,12.5,0.0,0.0,0.0,2015-04-25,-0.0063775510204081625,-85.18808956427108,True,9.30637755102041,262.79977049984103,True
4492,2016,4,21,18.8,13.9,10.3,84.1,2.2,1.5,20.9,0.0,0.0,2016-04-21,0.0,-83.00400633313707,True,8.9,268.579708228614,True
4860,2017,4,24,22.6,13.3,2.8,45.0,1.7,11.1,0.0,0.0,0.0,2017-04-24,-0.12222222222222223,-90.55716106495117,True,7.822222222222223,262.61557076130146,True
5222,2018,4,21,28.6,17.5,7.8,49.4,1.3,10.8,0.0,0.0,0.0,2018-04-21,0.0,-79.04025623902584,True,12.5,267.7839220355035,True
5596,2019,4,30,16.3,13.7,6.2,69.1,1.4,7.6,0.0,0.0,3.1,2019-04-30,0.0,-83.20360575629122,True,8.7,266.9242546803686,True
5960,2020,4,30,25.7,16.2,3.6,62.0,1.4,12.1,0.0,0.0,1.5,2020-04-30,-0.04434389140271493,-73.20545641274892,True,9.694343891402715,271.23653486000563,True
6313,2021,4,19,20.6,11.2,0.2,64.8,1.5,12.1,0.0,0.0,1.1,2021-04-19,-0.5647058823529411,-45.89627570088297,True,5.964705882352941,264.65928854034513,True
6681,2022,4,22,22.6,15.5,7.8,75.3,1.9,5.1,0.0,0.0,5.5,2022-04-22,0.0,-74.81775057391769,True,10.5,265.62844984665946,True
7040,2023,4,16,17.6,10.9,6.7,70.6,1.3,6.4,0.0,0.0,5.4,2023-04-16,0.0,-72.85128523765677,True,5.9,264.0797559126137,True
7401,2024,4,17,22.0,13.8,6.8,67.9,1.1,8.1,0.0,0.0,3.0,2024-04-17,0.0,-61.909706386999616,True,8.8,267.0413793654114,True
