,full_bloom_date
109,2004-04-19
483,2005-04-28
849,2006-04-29
1210,2007-04-25
1570,2008-04-19
1937,2009-04-21
2314,2010-05-03
2680,2011-05-04
3040,2012-04-28
3411,2013-05-04
3758,2014-04-16
4128,2015-04-21
4489,2016-04-16
4858,2017-04-20
5219,2018-04-16
5590,2019-04-22
5959,2020-04-25
6311,2021-04-12
6683,2022-04-19
7043,2023-04-14
7405,2024-04-15
