,year,month,day,date,tmax,tavg,tmin,rainfall,wind,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
109,2003,4,20,2003-04-20,13.7,11.7,9.2,8.0,1.0,0.0,-263.6911212936023,False,2.6999999999999993,134.3427530052668,True
471,2004,4,16,2004-04-16,28.2,16.7,4.5,0.0,1.7,-4.422784810126582,-310.896996612234,False,7.777215189873417,140.53481797169044,True
843,2005,4,23,2005-04-23,22.2,12.3,2.3,0.0,1.4,-5.622110552763819,-255.41771838062675,False,4.377889447236181,134.58271978975887,True
1210,2006,4,25,2006-04-25,22.1,14.0,5.0,0.0,1.7,-3.982163742690058,-279.79524855365787,False,5.017836257309942,137.52118733471085,True
1571,2007,4,21,2007-04-21,23.7,19.6,16.3,0.0,1.6,0.0,-301.66766164095617,False,10.600000000000001,141.42636935382262,True
1936,2008,4,20,2008-04-20,23.0,14.5,4.5,0.0,2.2,-4.702702702702703,-299.3015433118446,False,5.297297297297297,137.2930561001568,True
2294,2009,4,13,2009-04-13,25.3,17.0,7.4,0.0,0.8,-2.178491620111731,-251.92541069367724,False,7.421508379888269,139.27915481615065,True
2680,2010,5,4,2010-05-04,29.5,21.0,11.9,0.0,2.4,0.0,-290.95927364984124,False,12.0,138.8264560438434,True
3041,2011,4,30,2011-04-30,23.5,18.9,14.9,21.5,3.2,0.0,-363.77820623917563,False,9.899999999999999,136.48710247767656,True
3401,2012,4,24,2012-04-24,29.4,18.8,9.9,0.0,1.5,0.0,-268.2277367501827,False,9.8,134.56206259672672,True
3770,2013,4,28,2013-04-28,22.8,14.1,3.9,0.0,2.0,-5.161904761904761,-390.01923188418203,False,5.038095238095238,138.00610948281866,True
4123,2014,4,16,2014-04-16,27.0,17.8,10.1,0.0,1.3,0.0,-243.46686611919245,False,8.8,135.87171151178904,True
4495,2015,4,23,2015-04-23,23.4,13.8,4.1,0.0,1.2,-4.3279792746114,-285.7880146780923,False,5.372020725388601,137.091986222492,True
4855,2016,4,17,2016-04-17,19.9,15.5,9.9,11.5,5.8,0.0,-220.8226920663935,False,6.5,135.3127937607931,True
5224,2017,4,21,2017-04-21,21.4,13.9,7.1,0.0,1.1,-1.4237762237762253,-284.0564438772328,False,5.3762237762237755,138.08727629974234,True
5583,2018,4,15,2018-04-15,18.6,12.7,7.9,0.0,2.9,-0.49345794392523157,-276.3146432263129,False,4.306542056074767,135.44119486183655,True
5954,2019,4,21,2019-04-21,25.2,17.1,8.6,0.0,1.3,-0.5951807228915689,-345.1413464042113,False,7.904819277108433,138.0443426375862,True
6320,2020,4,21,2020-04-21,17.9,11.2,5.7,0.0,5.0,-2.2536885245901637,-341.99109704632383,False,3.2463114754098354,134.961934642914,True
6677,2021,4,13,2021-04-13,20.2,15.2,8.2,2.5,3.6,-1.7733333333333343,-273.97577195928517,False,5.226666666666666,135.61619357246514,True
7045,2022,4,16,2022-04-16,20.8,11.9,2.0,0.0,1.8,-6.196808510638299,-282.07215779705103,False,3.703191489361702,137.25169103416317,True
7401,2023,4,8,2023-04-08,16.0,8.8,1.3,0.0,3.4,-5.833333333333334,-251.85884261614873,False,1.6666666666666667,135.05067424382716,True
7774,2024,4,15,2024-04-15,18.4,14.7,11.8,10.5,1.1,0.0,-221.31258329201265,False,5.699999999999999,137.18939962355722,True
