,full_bloom_date
111,2004-04-21
483,2005-04-28
852,2006-05-02
1211,2007-04-26
1573,2008-04-22
1940,2009-04-24
2314,2010-05-03
2680,2011-05-04
3041,2012-04-29
3412,2013-05-05
3758,2014-04-18
4130,2015-04-25
4492,2016-04-21
4860,2017-04-24
5222,2018-04-21
5596,2019-04-30
5960,2020-04-30
6313,2021-04-19
6681,2022-04-22
7040,2023-04-16
7401,2024-04-17
