,year,month,day,date,tmax,tavg,tmin,rainfall,wind,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
110,2003,4,21,2003-04-21,18.3,12.0,8.0,0.0,2.6,0.0,-230.9851546207027,False,6.8,281.8777523417811,True
472,2004,4,17,2004-04-17,29.2,18.2,6.9,0.0,1.1,0.0,-278.19416249503246,False,13.0,282.0483116399445,True
846,2005,4,26,2005-04-26,25.4,16.6,7.3,0.0,1.5,0.0,-215.37152576296688,False,11.400000000000002,282.60850693165963,True
1211,2006,4,26,2006-04-26,14.6,11.8,8.9,0.5,0.4,0.0,-242.5894763983836,False,6.6000000000000005,282.9008656454552,True
1571,2007,4,21,2007-04-21,23.7,19.6,16.3,0.0,1.6,0.0,-281.66155240150533,False,14.400000000000002,278.74825167135094,True
1938,2008,4,22,2008-04-22,28.5,18.7,11.1,0.0,1.0,0.0,-277.8890810250661,False,13.5,288.2687391041619,True
2297,2009,4,16,2009-04-16,13.2,10.8,8.2,0.0,1.0,0.0,-200.18001645362077,False,5.6000000000000005,281.20009431361746,True
2680,2010,5,4,2010-05-04,29.5,21.0,11.9,0.0,2.4,0.0,-241.28168152680976,False,15.8,290.0062281620127,True
3042,2011,5,1,2011-05-01,21.4,17.3,11.6,2.0,3.7,0.0,-354.91964172295815,False,12.100000000000001,285.42982879222484,True
3404,2012,4,27,2012-04-27,23.6,13.5,3.0,0.0,1.7,-2.2825242718446592,-252.39817204094174,False,8.21747572815534,284.7648128797586,True
3770,2013,4,28,2013-04-28,22.8,14.1,3.9,0.0,2.0,-2.0052910052910047,-359.162224294795,False,8.194708994708995,279.20138903938255,True
4127,2014,4,20,2014-04-20,21.9,14.4,8.2,0.0,1.7,0.0,-216.87718508467995,False,9.2,280.03689486181366,True
4496,2015,4,24,2015-04-24,23.9,14.6,5.0,0.0,1.7,-0.348941798941798,-266.6666555066425,False,9.251058201058202,279.24667453060925,True
4857,2016,4,19,2016-04-19,21.0,13.6,6.3,0.0,2.0,0.0,-174.80307635573516,False,8.399999999999999,279.2218532682696,True
5225,2017,4,22,2017-04-22,21.7,12.6,5.8,10.0,1.7,0.0,-283.6533416097539,False,7.3999999999999995,277.6828778282242,True
5586,2018,4,18,2018-04-18,24.4,14.6,5.0,0.0,1.4,-0.0989690721649481,-268.96830424104974,False,9.501030927835052,277.9267124102252,True
5954,2019,4,21,2019-04-21,25.2,17.1,8.6,0.0,1.3,0.0,-311.61907683495303,False,11.900000000000002,283.8514176096496,True
6319,2020,4,20,2020-04-20,19.7,13.7,9.2,0.0,3.0,0.0,-293.70730693990674,False,8.5,278.2635047342736,True
6679,2021,4,15,2021-04-15,18.5,9.7,-0.3,0.0,1.5,-13.806914893617021,-226.05125189557,False,4.704521276595745,280.32135222183035,True
7048,2022,4,19,2022-04-19,25.2,15.7,4.8,0.0,1.7,-1.096078431372547,-251.09201034987083,False,9.803921568627452,286.4071320606265,True
7405,2023,4,12,2023-04-12,20.4,13.3,5.3,0.0,3.0,0.0,-233.5789735802833,False,8.100000000000001,285.180964789369,True
7776,2024,4,17,2024-04-17,24.4,15.4,6.0,0.0,1.6,0.0,-197.82412247311782,False,10.2,285.9516998058571,True
