,year,month,day,date,tmax,tavg,tmin,rainfall,wind,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
101,2004,4,12,2004-04-12,25.9,16.6,8.5,0.0,1.1,0.0,-274.3321868176245,False,8.600000000000001,153.46146030596287,True
476,2005,4,22,2005-04-22,19.9,12.1,4.4,0.0,2.5,-3.1319354838709677,-227.45827757001723,False,4.568064516129032,152.0576612529236,True
840,2006,4,21,2006-04-21,18.7,11.2,3.8,0.0,1.6,-3.5580536912751675,-237.6490562772974,False,3.841946308724832,150.7122008350247,True
1199,2007,4,15,2007-04-15,21.4,12.0,4.2,0.5,0.9,-2.580232558139535,-231.75030275240488,False,5.219767441860465,155.21097520634348,True
1568,2008,4,18,2008-04-18,25.8,16.4,7.9,0.0,1.4,0.3502793296089415,-238.7344798913734,False,8.85027932960894,155.16894991166635,True
1930,2009,4,15,2009-04-15,20.4,13.3,10.5,1.0,2.0,0.0,-214.63315132593962,False,5.300000000000001,152.63006755561014,True
2310,2010,4,30,2010-04-30,19.1,11.4,4.6,0.0,2.0,-2.551379310344828,-281.46752745506103,False,4.248620689655173,152.5907032212427,True
2670,2011,4,25,2011-04-25,20.9,14.0,7.2,0.0,2.4,-0.7266423357664245,-288.4891130253653,False,6.073357664233575,150.32790502196005,True
3036,2012,4,25,2012-04-25,18.7,15.4,9.7,27.5,3.5,0.0,-234.33282624531944,False,7.4,152.91528059903337,True
3407,2013,5,1,2013-05-01,19.3,10.7,2.8,0.0,2.1,-4.030606060606059,-362.05819121384525,False,3.8693939393939396,153.75246023603978,True
3758,2014,4,17,2014-04-17,17.3,10.9,4.7,11.0,2.1,-2.7678571428571432,-230.87626720053484,False,3.432142857142857,152.11936313142706,True
4125,2015,4,19,2015-04-19,19.8,16.8,14.6,4.5,1.6,0.0,-230.29186003576436,False,8.8,155.13204760978343,True
4487,2016,4,15,2016-04-15,24.7,13.6,6.4,0.0,2.3,0.419945355191258,-201.02133108939327,False,7.619945355191257,152.75307617007144,True
4857,2017,4,20,2017-04-20,16.6,11.5,6.0,1.0,1.4,-2.0113207547169805,-298.40332526836744,False,3.4886792452830195,150.43649980087295,True
5215,2018,4,13,2018-04-13,19.3,13.6,5.8,0.0,2.6,-3.0707407407407405,-218.41342540010592,False,4.729259259259259,153.3565026177699,True
5590,2019,4,23,2019-04-23,18.4,16.4,13.4,3.5,1.8,0.0,-330.19731786909796,False,8.399999999999999,157.4046727427297,True
5957,2020,4,24,2020-04-24,16.5,9.1,0.3,0.0,3.0,-6.570061728395061,-325.89331708501743,False,2.2299382716049383,151.42622344788307,True
6307,2021,4,9,2021-04-09,20.1,11.2,0.7,0.0,1.3,-6.726546391752577,-183.35288450761308,False,3.773453608247423,152.81875018783344,True
6676,2022,4,13,2022-04-13,22.4,17.4,13.9,0.0,2.0,0.0,-225.7176516201865,False,9.399999999999999,150.26015031206634,True
7039,2023,4,11,2023-04-11,21.0,14.2,6.9,0.5,2.9,-1.3070921985815591,-239.4960015255555,False,5.99290780141844,154.58026034450086,True
7407,2024,4,13,2024-04-13,26.4,16.9,7.9,0.0,1.4,0.15027027027027096,-208.60248641881955,False,9.15027027027027,155.74138551493007,True
