,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
107,2004,4,17,24.0,16.4,8.7,43.0,2.0,10.6,0.0,0.0,0.4,2004-04-17,0.0,-192.86242429426025,False,10.399999999999999,186.76477395752866,True
480,2005,4,25,19.2,13.2,8.6,57.4,2.1,10.6,0.0,0.0,2.8,2005-04-25,0.0,-131.05539359050155,False,7.199999999999999,181.46410271449835,True
846,2006,4,26,16.9,11.9,6.5,47.4,1.3,0.8,0.0,0.0,9.0,2006-04-26,0.0,-155.4568857025382,False,5.9,185.5129328572487,True
1207,2007,4,22,16.7,13.0,9.0,70.5,2.3,0.6,0.5,0.0,7.6,2007-04-22,0.0,-156.57938784900844,False,7.0,181.62805192788318,True
1567,2008,4,16,24.7,15.4,7.9,58.9,1.2,7.2,0.0,0.0,4.8,2008-04-16,0.0,-113.65091109153045,False,9.4,181.09678246661753,True
1934,2009,4,18,21.2,12.9,4.2,47.5,1.3,11.8,0.0,0.0,1.4,2009-04-18,-1.9047058823529408,-144.12574706251004,False,6.7952941176470585,182.27374544204153,True
2313,2010,5,2,24.4,16.7,6.8,60.3,1.5,12.0,0.0,0.0,0.6,2010-05-02,0.0,-195.44319760061603,False,10.7,190.380273342866,True
2678,2011,5,2,19.4,12.6,6.6,60.3,1.5,10.4,0.0,0.0,4.0,2011-05-02,0.0,-179.74178819917708,False,6.6,183.6173237223129,True
3037,2012,4,25,21.0,15.4,9.3,77.4,3.6,0.0,15.0,0.0,10.0,2012-04-25,0.0,-143.7224049916643,False,9.4,183.97723004969905,True
3409,2013,5,2,18.5,12.8,7.1,70.5,1.8,10.0,0.0,0.0,3.0,2013-05-02,0.0,-204.35349269155907,False,6.800000000000001,186.9835384484667,True
3755,2014,4,13,23.4,15.9,11.4,63.3,1.4,6.2,0.1,0.0,5.6,2014-04-13,0.0,-159.61040239710303,False,9.9,184.45018112556835,True
4125,2015,4,18,22.8,15.0,3.6,42.5,1.1,8.1,0.0,0.0,5.0,2015-04-18,-4.05,-160.561282067509,False,7.3500000000000005,184.42156663686475,True
4486,2016,4,13,22.0,15.0,11.1,79.8,1.2,4.4,3.8,0.0,5.6,2016-04-13,0.0,-111.74915118275567,False,9.0,183.8559077545145,True
4855,2017,4,17,17.2,13.8,10.7,82.3,1.4,1.5,7.9,0.0,7.3,2017-04-17,0.0,-168.9734799803434,False,7.800000000000001,184.81406296773918,True
5215,2018,4,12,20.5,11.7,4.9,50.4,1.8,11.2,0.0,0.0,0.9,2018-04-12,-0.061217948717947834,-115.29812419078715,False,6.738782051282051,181.57996589800533,True
5588,2019,4,20,20.4,15.0,9.9,69.9,1.9,6.1,0.1,0.0,8.3,2019-04-20,0.0,-230.73932658727134,False,9.0,182.9262909401559,True
5953,2020,4,19,15.5,11.8,8.6,90.1,2.0,0.7,11.5,0.0,9.6,2020-04-19,0.0,-191.40855315987542,False,5.800000000000001,182.8354738699574,True
6307,2021,4,8,17.5,11.5,4.8,56.8,2.3,12.1,0.0,0.0,0.0,2021-04-08,-1.4933070866141733,-131.54288847356824,False,5.206692913385827,182.1564351749261,True
6680,2022,4,16,18.3,11.4,4.6,57.4,2.1,12.3,0.0,0.0,0.5,2022-04-16,-1.278467153284672,-134.87289354314743,False,5.521532846715329,181.60527634220932,True
7039,2023,4,10,19.2,12.4,4.1,49.5,2.3,10.7,0.0,0.0,1.0,2023-04-10,-2.530463576158942,-150.22761500320289,False,5.769536423841059,185.55733087487903,True
7403,2024,4,13,26.3,16.9,9.0,62.3,1.5,11.9,0.0,0.0,0.0,2024-04-13,0.0,-136.6923759446655,False,10.899999999999999,182.6560547767416,True
