,year,month,day,date,tmax,tavg,tmin,rainfall,wind,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
110,2003,4,21,2003-04-21,18.3,12.0,8.0,0.0,2.6,0.0,-53.26994758729674,True,6.8,281.8777523417811,True
472,2004,4,17,2004-04-17,29.2,18.2,6.9,0.0,1.1,0.0,-71.2200087327733,True,13.0,282.0483116399445,True
846,2005,4,26,2005-04-26,25.4,16.6,7.3,0.0,1.5,0.0,-108.43051126428502,True,11.400000000000002,282.60850693165963,True
1211,2006,4,26,2006-04-26,14.6,11.8,8.9,0.5,0.4,0.0,-81.24728809741693,True,6.6000000000000005,282.9008656454552,True
1571,2007,4,21,2007-04-21,23.7,19.6,16.3,0.0,1.6,0.0,-70.28632881754245,True,14.400000000000002,278.74825167135094,True
1938,2008,4,22,2008-04-22,28.5,18.7,11.1,0.0,1.0,0.0,-91.62694151372457,True,13.5,288.2687391041619,True
2297,2009,4,16,2009-04-16,13.2,10.8,8.2,0.0,1.0,0.0,-61.98819274377131,True,5.6000000000000005,281.20009431361746,True
2680,2010,5,4,2010-05-04,29.5,21.0,11.9,0.0,2.4,0.0,-81.40306793297022,True,15.8,290.0062281620127,True
3042,2011,5,1,2011-05-01,21.4,17.3,11.6,2.0,3.7,0.0,-100.26298999442739,True,12.100000000000001,285.42982879222484,True
3404,2012,4,27,2012-04-27,23.6,13.5,3.0,0.0,1.7,-0.11747572815533981,-90.28674774675368,True,8.21747572815534,284.7648128797586,True
3770,2013,4,28,2013-04-28,22.8,14.1,3.9,0.0,2.0,-0.04470899470899472,-88.29718500691149,True,8.194708994708995,279.20138903938255,True
4127,2014,4,20,2014-04-20,21.9,14.4,8.2,0.0,1.7,0.0,-73.23651136422282,True,9.2,280.03689486181366,True
4496,2015,4,24,2015-04-24,23.9,14.6,5.0,0.0,1.7,-0.0010582010582010602,-79.54750233757356,True,9.251058201058202,279.24667453060925,True
4857,2016,4,19,2016-04-19,21.0,13.6,6.3,0.0,2.0,0.0,-73.21908780530575,True,8.399999999999999,279.2218532682696,True
5225,2017,4,22,2017-04-22,21.7,12.6,5.8,10.0,1.7,0.0,-75.76274645347328,True,7.3999999999999995,277.6828778282242,True
5586,2018,4,18,2018-04-18,24.4,14.6,5.0,0.0,1.4,-0.0010309278350515484,-68.55015160886434,True,9.501030927835052,277.9267124102252,True
5954,2019,4,21,2019-04-21,25.2,17.1,8.6,0.0,1.3,0.0,-59.44284740502866,True,11.900000000000002,283.8514176096496,True
6319,2020,4,20,2020-04-20,19.7,13.7,9.2,0.0,3.0,0.0,-55.37363477600187,True,8.5,278.2635047342736,True
6679,2021,4,15,2021-04-15,18.5,9.7,-0.3,0.0,1.5,-0.8021276595744681,-43.04703950378694,True,4.704521276595745,280.32135222183035,True
7048,2022,4,19,2022-04-19,25.2,15.7,4.8,0.0,1.7,-0.003921568627450987,-85.31691686441916,True,9.803921568627452,286.4071320606265,True
7405,2023,4,12,2023-04-12,20.4,13.3,5.3,0.0,3.0,0.0,-50.75899327153976,True,8.100000000000001,285.180964789369,True
7776,2024,4,17,2024-04-17,24.4,15.4,6.0,0.0,1.6,0.0,-55.78025659190598,True,10.2,285.9516998058571,True
