,full_bloom_date
108,2003-04-19
471,2004-04-16
845,2005-04-25
1209,2006-04-24
1570,2007-04-20
1937,2008-04-21
2295,2009-04-14
2679,2010-05-03
3041,2011-04-30
3402,2012-04-25
3768,2013-04-26
4125,2014-04-18
4495,2015-04-23
4856,2016-04-18
5224,2017-04-21
5585,2018-04-17
5953,2019-04-20
6317,2020-04-18
6677,2021-04-13
7046,2022-04-17
7403,2023-04-10
7774,2024-04-15
