,full_bloom_date
101,2004-04-12
475,2005-04-21
837,2006-04-18
1196,2007-04-12
1567,2008-04-17
1929,2009-04-14
2303,2010-04-23
2668,2011-04-23
3035,2012-04-24
3403,2013-04-27
3756,2014-04-15
4123,2015-04-17
4487,2016-04-15
4856,2017-04-19
5213,2018-04-11
5587,2019-04-20
5950,2020-04-17
6305,2021-04-07
6676,2022-04-13
7037,2023-04-09
7405,2024-04-11
