,full_bloom_date
109,2004-04-19
482,2005-04-27
850,2006-04-30
1212,2007-04-27
1572,2008-04-21
1936,2009-04-20
2316,2010-05-05
2679,2011-05-03
3041,2012-04-29
3412,2013-05-05
3758,2014-04-16
4131,2015-04-24
4492,2016-04-19
4859,2017-04-21
5223,2018-04-20
5592,2019-04-24
5958,2020-04-25
6311,2021-04-13
6682,2022-04-19
7043,2023-04-15
7406,2024-04-17
