,full_bloom_date
108,2004-04-18
482,2005-04-27
848,2006-04-28
1209,2007-04-24
1569,2008-04-18
1935,2009-04-19
2314,2010-05-03
2680,2011-05-04
3039,2012-04-27
3410,2013-05-03
3757,2014-04-15
4127,2015-04-20
4488,2016-04-15
4857,2017-04-19
5218,2018-04-15
5590,2019-04-22
5957,2020-04-23
6309,2021-04-10
6682,2022-04-18
7041,2023-04-12
7404,2024-04-14
