,full_bloom_date
110,2004-04-20
482,2005-04-27
852,2006-05-02
1211,2007-04-26
1572,2008-04-21
1937,2009-04-21
2314,2010-05-03
2680,2011-05-04
3040,2012-04-28
3412,2013-05-05
3756,2014-04-16
4129,2015-04-24
4489,2016-04-18
4859,2017-04-23
5221,2018-04-20
5594,2019-04-28
5959,2020-04-29
6312,2021-04-18
6680,2022-04-21
7038,2023-04-14
7399,2024-04-15
