,full_bloom_date
106,2004-04-16
479,2005-04-24
844,2006-04-24
1205,2007-04-20
1569,2008-04-18
1930,2009-04-14
2311,2010-04-30
2674,2011-04-28
3037,2012-04-25
3402,2013-04-25
3759,2014-04-17
4129,2015-04-22
4490,2016-04-17
4857,2017-04-19
5223,2018-04-20
5587,2019-04-19
5953,2020-04-19
6312,2021-04-13
6680,2022-04-16
7037,2023-04-11
7401,2024-04-14
