,full_bloom_date
107,2004-04-17
481,2005-04-26
847,2006-04-27
1208,2007-04-23
1568,2008-04-17
1935,2009-04-19
2313,2010-05-02
2679,2011-05-03
3038,2012-04-26
3409,2013-05-02
3756,2014-04-14
4126,2015-04-19
4487,2016-04-14
4856,2017-04-18
5216,2018-04-13
5589,2019-04-21
5954,2020-04-20
6308,2021-04-09
6681,2022-04-17
7040,2023-04-11
7404,2024-04-14
