,full_bloom_date
107,2003-04-18
470,2004-04-15
844,2005-04-24
1208,2006-04-23
1570,2007-04-20
1935,2008-04-19
2294,2009-04-13
2678,2010-05-02
3040,2011-04-29
3401,2012-04-24
3767,2013-04-25
4124,2014-04-17
4494,2015-04-22
4855,2016-04-17
5223,2017-04-20
5584,2018-04-16
5951,2019-04-18
6316,2020-04-17
6675,2021-04-11
7045,2022-04-16
7402,2023-04-09
7774,2024-04-15
