,full_bloom_date
110,2003-04-21
472,2004-04-17
846,2005-04-26
1211,2006-04-26
1571,2007-04-21
1938,2008-04-22
2297,2009-04-16
2680,2010-05-04
3042,2011-05-01
3404,2012-04-27
3770,2013-04-28
4127,2014-04-20
4496,2015-04-24
4857,2016-04-19
5225,2017-04-22
5586,2018-04-18
5954,2019-04-21
6319,2020-04-20
6679,2021-04-15
7048,2022-04-19
7405,2023-04-12
7776,2024-04-17
