,full_bloom_date
100,2004-04-10
472,2005-04-17
836,2006-04-16
1198,2007-04-13
1563,2008-04-12
1925,2009-04-09
2305,2010-04-24
2667,2011-04-21
3031,2012-04-19
3394,2013-04-17
3752,2014-04-10
4122,2015-04-15
4483,2016-04-10
4852,2017-04-14
5212,2018-04-09
5581,2019-04-13
5945,2020-04-11
6300,2021-04-01
6674,2022-04-10
7027,2023-04-01
7395,2024-04-08
