,full_bloom_date
106,2004-04-16
479,2005-04-24
844,2006-04-24
1206,2007-04-21
1567,2008-04-16
1934,2009-04-18
2310,2010-04-29
2676,2011-04-30
3037,2012-04-25
3407,2013-04-30
3755,2014-04-13
4124,2015-04-17
4486,2016-04-13
4854,2017-04-16
5215,2018-04-12
5587,2019-04-19
5952,2020-04-18
6307,2021-04-08
6679,2022-04-15
7038,2023-04-09
7403,2024-04-13
