,full_bloom_date
110,2003-04-21
471,2004-04-16
844,2005-04-24
1210,2006-04-25
1571,2007-04-21
1936,2008-04-20
2294,2009-04-13
2680,2010-05-04
3042,2011-05-01
3402,2012-04-25
3770,2013-04-28
4124,2014-04-17
4496,2015-04-24
4856,2016-04-18
5224,2017-04-21
5584,2018-04-16
5954,2019-04-21
6322,2020-04-23
6678,2021-04-14
7045,2022-04-16
7402,2023-04-09
7775,2024-04-16
