,full_bloom_date
107,2004-04-17
480,2005-04-25
846,2006-04-26
1207,2007-04-22
1567,2008-04-16
1934,2009-04-18
2313,2010-05-02
2678,2011-05-02
3037,2012-04-25
3409,2013-05-02
3755,2014-04-13
4125,2015-04-18
4486,2016-04-13
4855,2017-04-17
5215,2018-04-12
5588,2019-04-20
5953,2020-04-19
6307,2021-04-08
6680,2022-04-16
7039,2023-04-10
7403,2024-04-13
