,full_bloom_date
110,2004-04-20
483,2005-04-28
851,2006-05-01
1213,2007-04-28
1573,2008-04-22
1938,2009-04-22
2317,2010-05-06
2680,2011-05-04
3042,2012-04-30
3413,2013-05-06
3759,2014-04-17
4132,2015-04-25
4493,2016-04-20
4860,2017-04-22
5223,2018-04-20
5592,2019-04-24
5959,2020-04-26
6312,2021-04-14
6683,2022-04-20
7045,2023-04-17
7407,2024-04-18
