,full_bloom_date
0,2004-04-05
1,2005-04-16
2,2006-04-10
3,2007-04-02
4,2008-04-09
5,2009-03-23
6,2010-04-08
7,2011-04-15
8,2012-04-14
9,2013-04-08
10,2014-04-09
11,2015-04-14
12,2016-04-06
13,2017-04-07
14,2018-04-10
15,2019-04-02
16,2020-03-28
17,2021-03-27
18,2022-04-08
19,2023-04-03
20,2024-04-01
