,full_bloom_date
0,2003-04-18
1,2004-04-15
2,2005-04-24
3,2006-04-20
4,2007-04-18
5,2008-04-22
6,2009-04-09
7,2010-04-22
8,2011-04-29
9,2012-04-22
10,2013-04-22
11,2014-04-17
12,2015-04-23
13,2016-04-16
14,2017-04-18
15,2018-04-19
16,2019-04-16
17,2020-04-09
18,2021-04-07
19,2022-04-15
20,2023-04-10
21,2024-04-11
