,full_bloom_date
0,2004-04-18
1,2005-04-24
2,2006-04-29
3,2007-04-21
4,2008-04-19
5,2009-04-22
6,2010-04-23
7,2011-04-29
8,2012-04-27
9,2013-04-28
10,2014-04-17
11,2015-04-23
12,2016-04-17
13,2017-04-21
14,2018-04-19
15,2019-04-24
16,2020-04-17
17,2021-04-08
18,2022-04-20
19,2023-04-13
20,2024-04-13
