,full_bloom_date
0,2004-04-13
1,2005-04-19
2,2006-04-18
3,2007-04-17
4,2008-04-12
5,2009-04-11
6,2010-04-20
7,2011-04-29
8,2012-04-20
9,2013-04-26
10,2014-04-06
11,2015-04-13
12,2016-04-07
13,2017-04-15
14,2018-04-03
15,2019-04-19
16,2020-04-14
17,2021-04-02
18,2022-04-11
19,2023-04-03
20,2024-04-07
