,full_bloom_date
0,2004-04-13
1,2005-04-17
2,2006-04-19
3,2007-04-20
4,2008-04-15
5,2009-04-08
6,2010-04-20
7,2011-04-26
8,2012-04-19
9,2013-04-22
10,2014-04-02
11,2015-04-15
12,2016-04-08
13,2017-04-14
14,2018-04-03
15,2019-04-21
16,2020-04-17
17,2021-04-03
18,2022-04-11
19,2023-04-02
20,2024-04-07
