,full_bloom_date
0,2004-04-09
1,2005-04-21
2,2006-04-12
3,2007-03-31
4,2008-04-15
5,2009-04-07
6,2010-04-10
7,2011-04-21
8,2012-04-20
9,2013-04-20
10,2014-04-14
11,2015-04-17
12,2016-04-13
13,2017-04-17
14,2018-04-13
15,2019-04-13
16,2020-04-01
17,2021-03-30
18,2022-04-12
19,2023-04-06
20,2024-04-03
