DVS,full_bloom_date
100.5937361527657,2004-04-07
101.27120122039945,2005-04-15
102.67312798933283,2006-04-11
102.63556447964689,2007-04-06
100.46234569581408,2008-04-09
100.06029152041701,2009-03-24
100.62995367920458,2010-04-10
100.77528984740131,2011-04-17
101.69667520591997,2012-04-14
101.26958858389125,2013-04-12
101.33904983061016,2014-04-07
100.20007369094274,2015-04-14
101.19526091686659,2016-04-07
102.89729919837822,2017-04-09
100.91927460967001,2018-04-10
102.38146416259642,2019-04-06
102.71965267206672,2020-03-26
100.0980137849943,2021-03-24
101.64345094503935,2022-04-08
100.28589466350466,2023-03-30
101.83793950342678,2024-03-31
