DVS,full_bloom_date
101.4381898434578,2004-04-01
100.56978864665997,2005-04-11
100.63302115249941,2006-03-31
101.90224698300227,2007-03-25
103.26054183002519,2008-04-07
100.95445199887398,2009-03-20
101.82516403693468,2010-04-09
100.02202749398438,2011-04-15
100.82295024386944,2012-04-11
100.68628447744535,2013-04-06
101.2454053572749,2014-04-02
100.48758020235132,2015-04-15
101.98192949790914,2016-04-09
100.86000794703983,2017-04-08
101.41323637436702,2018-04-10
100.00178875715237,2019-04-04
100.52109728651459,2020-03-24
102.18338115097933,2021-03-23
100.33192153861965,2022-04-07
100.17699796173254,2023-03-30
101.4170192500996,2024-04-03
