DVS,full_bloom_date
103.00000868585144,2003-04-13
104.70173604996947,2004-04-10
100.84231012249295,2005-04-17
104.21134457495852,2006-04-12
100.96545654902987,2007-04-10
100.02588236706518,2008-04-15
100.70780929405839,2009-04-02
101.39171039414546,2010-04-15
100.55567955587979,2011-04-22
103.09264542296175,2012-04-15
102.19086503434671,2013-04-14
102.07928937043152,2014-04-09
102.75226706020909,2015-04-15
102.40064387058882,2016-04-09
102.18453071180512,2017-04-12
102.94785137407685,2018-04-11
100.95301339322981,2019-04-09
102.37135242122667,2020-03-27
103.1130850010546,2021-03-28
103.22742899009053,2022-04-10
102.22340427013408,2023-04-01
100.35366940451199,2024-04-02
