DVS,full_bloom_date
100.4268882791617,2004-04-16
100.53577881309405,2005-04-23
100.81246238299346,2006-04-26
101.97201804535595,2007-04-23
101.79793797281683,2008-04-18
102.67656419164388,2009-04-19
102.33022550927797,2010-04-30
101.37263010486538,2011-05-01
100.73387754636542,2012-04-27
100.75266210940582,2013-05-01
100.7694036278738,2014-04-14
102.30229277070546,2015-04-22
101.9362704303646,2016-04-15
100.28126179892959,2017-04-19
101.44287274983516,2018-04-16
102.1049009748289,2019-04-22
103.5016390899593,2020-04-16
102.05160008898564,2021-04-07
102.8611030589177,2022-04-15
101.71918344487929,2023-04-12
104.14256402188767,2024-04-14
