DVS,full_bloom_date
101.97375120063597,2004-04-16
101.5603449601382,2005-04-20
100.80092619238114,2006-04-25
102.28639885617532,2007-04-19
102.81325479691881,2008-04-17
102.27746763842111,2009-04-17
104.34045426394297,2010-04-20
102.10228558233,2011-04-26
100.86667745397355,2012-04-23
101.25093405867017,2013-04-25
103.29537702435063,2014-04-13
101.16028033633035,2015-04-19
100.02700590349063,2016-04-11
100.33429626428985,2017-04-16
100.44333446348938,2018-04-14
103.04350665757437,2019-04-22
101.26549584116088,2020-04-13
101.86612210314226,2021-04-03
102.0538228332999,2022-04-15
101.14114823181619,2023-04-05
102.99504818394463,2024-04-10
