year,full_bloom_date
2003,2003-04-15
2004,2004-04-10
2005,2005-04-20
2006,2006-04-17
2007,2007-04-12
2008,2008-04-13
2009,2009-04-10
2010,2010-04-25
2011,2011-04-19
2012,2012-04-20
2013,2013-04-14
2014,2014-04-12
2015,2015-04-16
2016,2016-04-14
2017,2017-04-13
2018,2018-04-10
2019,2019-04-12
2020,2020-04-08
2021,2021-04-07
2022,2022-04-11
2023,2023-04-04
2024,2024-04-12
