year,full_bloom_date
2004,2004-04-18
2005,2005-04-28
2006,2006-04-29
2007,2007-04-25
2008,2008-04-19
2009,2009-04-22
2010,2010-05-03
2011,2011-05-04
2012,2012-04-28
2013,2013-05-03
2014,2014-04-16
2015,2015-04-21
2016,2016-04-19
2017,2017-04-19
2018,2018-04-18
2019,2019-04-21
2020,2020-04-23
2021,2021-04-12
2022,2022-04-20
2023,2023-04-14
2024,2024-04-16
