year,CD
2004,2004-04-10
2005,2005-04-18
2006,2006-04-16
2007,2007-04-12
2008,2008-04-12
2009,2009-04-10
2010,2010-04-19
2011,2011-04-15
2012,2012-04-16
2013,2013-04-12
2014,2014-04-10
2015,2015-04-12
2016,2016-04-11
2017,2017-04-10
2018,2018-04-09
2019,2019-04-08
2020,2020-04-07
2021,2021-04-03
2022,2022-04-10
2023,2023-04-05
2024,2024-04-13
