DVS,full_bloom_date
102.68316872751365,2004-04-12
101.35988051902507,2005-04-18
102.2347500886511,2006-04-14
102.64643126261967,2007-04-08
100.80238965452315,2008-04-11
102.48778479908513,2009-04-13
100.33074311842985,2010-04-18
100.94517695060064,2011-04-19
104.35276384397378,2012-04-19
102.99478164321319,2013-04-17
101.92249457253236,2014-04-06
102.69463897937844,2015-04-11
104.5098099348049,2016-04-09
101.9681217217496,2017-04-10
100.76777298529753,2018-04-04
100.26700332750428,2019-04-09
100.59553173632378,2020-03-29
102.56932158438923,2021-03-26
104.24807268563241,2022-04-09
104.21436052458395,2023-03-31
103.27252286303602,2024-04-02
