DVS,full_bloom_date
100.18271495614219,2004-03-31
100.94165052317437,2005-04-11
100.95767733939844,2006-04-05
103.24091874237882,2007-03-29
101.18439858404469,2008-04-12
100.78246344012184,2009-03-28
101.49559475027961,2010-04-06
101.74244706175654,2011-04-15
103.9560210392083,2012-04-09
101.1857008647506,2013-04-07
102.21603240727002,2014-04-04
100.14833590552261,2015-04-07
102.84546375806771,2016-04-03
100.52078057062818,2017-04-06
102.00926530465973,2018-04-05
100.55730856423443,2019-04-03
100.10673196732886,2020-03-22
101.10390768459546,2021-03-20
102.72536210507107,2022-04-04
103.08647991275255,2023-04-01
101.27823954188838,2024-04-03
