DVS,full_bloom_date
100.22071785602527,2004-04-14
100.16538043499634,2005-04-23
101.77408064606381,2006-04-22
101.9059394877266,2007-04-15
101.5423774414731,2008-04-15
102.28901516056101,2009-04-15
102.86684659695364,2010-04-21
101.54667979681585,2011-04-29
100.76711017676357,2012-04-22
100.34124941394425,2013-04-26
103.38132455252855,2014-04-12
101.53692990796785,2015-04-17
101.38138365103764,2016-04-10
102.52511272141655,2017-04-16
100.42953761361022,2018-04-11
103.88775297227696,2019-04-20
101.09898346374918,2020-04-08
100.45575587087792,2021-04-02
101.44734462651864,2022-04-13
102.03998167429621,2023-04-06
101.0009042445171,2024-04-09
