DVS,full_bloom_date
104.34268788588376,2004-04-10
103.83610480644778,2005-04-17
101.9155604222961,2006-04-16
100.44057950272801,2007-04-12
103.37694035426185,2008-04-17
102.38175783909796,2009-04-06
103.64366525909307,2010-04-20
100.20247720784731,2011-04-19
102.49394817463701,2012-04-14
102.25785111048546,2013-04-13
100.14261567894499,2014-04-09
102.03886408278784,2015-04-16
102.0819537089621,2016-04-08
102.67170058410518,2017-04-10
100.03229560150835,2018-04-06
103.02885550054175,2019-04-07
102.94167036183696,2020-04-01
101.3552317538968,2021-03-28
102.98005099821981,2022-04-09
100.26537118276178,2023-03-31
101.39097023357328,2024-04-05
