DVS,full_bloom_date
104.05319705404219,2004-04-10
105.04700991630416,2005-04-19
103.33960184755311,2006-04-11
100.83720740688813,2007-04-01
102.62977539114156,2008-04-15
104.2263959961128,2009-04-09
101.60630086229563,2010-04-10
102.48075828562129,2011-04-21
104.3146745932747,2012-04-20
100.96207743567354,2013-04-20
101.45108460142825,2014-04-12
102.08726557754285,2015-04-15
100.98210323019732,2016-04-11
101.36747226288524,2017-04-15
104.0791039098547,2018-04-10
102.49387504944235,2019-04-16
100.42565648172388,2020-03-26
103.17815784964293,2021-03-27
102.8101688510814,2022-04-10
103.17324604596955,2023-04-03
100.515788420254,2024-04-01
