year,full_bloom_date
2004,2004-04-20
2005,2005-04-26
2006,2006-05-01
2007,2007-04-26
2008,2008-04-20
2009,2009-04-22
2010,2010-05-02
2011,2011-05-02
2012,2012-04-27
2013,2013-05-02
2014,2014-04-16
2015,2015-04-24
2016,2016-04-18
2017,2017-04-23
2018,2018-04-20
2019,2019-04-26
2020,2020-04-27
2021,2021-04-19
2022,2022-04-21
2023,2023-04-14
2024,2024-04-16
