DVS,full_bloom_date
103.09465322999752,2004-04-16
101.20702349350206,2005-04-22
102.89205057893878,2006-04-22
103.4552322201515,2007-04-22
104.99214248276715,2008-04-18
102.36613931743321,2009-04-19
100.6896033158768,2010-04-27
100.91924925508665,2011-04-30
103.72339796030445,2012-04-25
101.56220471671685,2013-04-28
100.06551908498894,2014-04-14
101.40994202448923,2015-04-22
103.70849619606568,2016-04-14
101.99913776721876,2017-04-17
101.13186934940175,2018-04-16
101.14582427416516,2019-04-21
100.6041898771421,2020-04-10
101.93243789113872,2021-04-04
100.35413034260031,2022-04-12
100.3684231651039,2023-04-04
101.04670859173447,2024-04-11
