year,CD
2004,2004-04-09
2005,2005-04-20
2006,2006-04-17
2007,2007-04-11
2008,2008-04-15
2009,2009-04-13
2010,2010-04-21
2011,2011-04-19
2012,2012-04-23
2013,2013-04-19
2014,2014-04-13
2015,2015-04-15
2016,2016-04-14
2017,2017-04-15
2018,2018-04-10
2019,2019-04-16
2020,2020-04-14
2021,2021-04-07
2022,2022-04-12
2023,2023-04-06
2024,2024-04-11
