DVS,full_bloom_date
104.09416838569115,2004-04-13
103.43729703072218,2005-04-19
104.83466320967965,2006-04-18
102.60725702983174,2007-04-12
102.34024666193416,2008-04-17
102.16142532416137,2009-04-13
100.47803992468913,2010-04-13
100.28686371500183,2011-04-26
102.77201059443095,2012-04-26
100.38665629060013,2013-04-19
103.68233795588914,2014-04-11
102.45626774263908,2015-04-15
101.16952990845449,2016-04-07
100.37262333298098,2017-04-16
102.84208296137525,2018-04-11
103.28941022494578,2019-04-20
101.05784625091464,2020-04-06
102.60112010365056,2021-03-27
102.24023928915929,2022-04-12
100.78310453099182,2023-04-03
101.19527542990207,2024-04-02
